"Attribute1","Attribute2","k","Accuracy","Sensitivity","Specificity"
"isSingle","isSalesRepresentative",5,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",6,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",7,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",8,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",9,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",10,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",11,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",12,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",13,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",14,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",15,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",16,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",17,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",18,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",19,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",20,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",21,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",22,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",23,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",24,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",25,84.8275862068965,98.7671232876712,12.1428571428571
"isSingle","isSalesRepresentative",26,83.9080459770115,100,0
"isSingle","isSalesRepresentative",27,83.9080459770115,100,0
"isSingle","isSalesRepresentative",28,83.9080459770115,100,0
"isSingle","isSalesRepresentative",29,83.9080459770115,100,0
"isSingle","isSalesRepresentative",30,83.9080459770115,100,0
"isSingle","isNumCmpWorked",5,83.9080459770115,100,0
"isSingle","isNumCmpWorked",6,83.9080459770115,100,0
"isSingle","isNumCmpWorked",7,83.9080459770115,100,0
"isSingle","isNumCmpWorked",8,83.9080459770115,100,0
"isSingle","isNumCmpWorked",9,83.9080459770115,100,0
"isSingle","isNumCmpWorked",10,83.9080459770115,100,0
"isSingle","isNumCmpWorked",11,83.9080459770115,100,0
"isSingle","isNumCmpWorked",12,83.9080459770115,100,0
"isSingle","isNumCmpWorked",13,83.9080459770115,100,0
"isSingle","isNumCmpWorked",14,83.9080459770115,100,0
"isSingle","isNumCmpWorked",15,83.9080459770115,100,0
"isSingle","isNumCmpWorked",16,83.9080459770115,100,0
"isSingle","isNumCmpWorked",17,83.9080459770115,100,0
"isSingle","isNumCmpWorked",18,83.9080459770115,100,0
"isSingle","isNumCmpWorked",19,83.9080459770115,100,0
"isSingle","isNumCmpWorked",20,83.9080459770115,100,0
"isSingle","isNumCmpWorked",21,83.9080459770115,100,0
"isSingle","isNumCmpWorked",22,83.9080459770115,100,0
"isSingle","isNumCmpWorked",23,83.9080459770115,100,0
"isSingle","isNumCmpWorked",24,83.9080459770115,100,0
"isSingle","isNumCmpWorked",25,83.9080459770115,100,0
"isSingle","isNumCmpWorked",26,83.9080459770115,100,0
"isSingle","isNumCmpWorked",27,83.9080459770115,100,0
"isSingle","isNumCmpWorked",28,83.9080459770115,100,0
"isSingle","isNumCmpWorked",29,83.9080459770115,100,0
"isSingle","isNumCmpWorked",30,83.9080459770115,100,0
"isSingle","isAgeLE22",5,84.4827586206897,98.6301369863014,10.7142857142857
"isSingle","isAgeLE22",6,84.4827586206897,98.6301369863014,10.7142857142857
"isSingle","isAgeLE22",7,84.4827586206897,98.6301369863014,10.7142857142857
"isSingle","isAgeLE22",8,84.4827586206897,98.6301369863014,10.7142857142857
"isSingle","isAgeLE22",9,84.4827586206897,98.6301369863014,10.7142857142857
